word,count,Filename
0,4,05/03/2020
0,2,05/03/2020
0,1,12/03/2020
0,3,19/03/2020
0,2,25/06/2020
1,1,30/01/2020
1,1,27/02/2020
1,2,05/03/2020
1,2,12/03/2020
1,6,19/03/2020
1,3,02/04/2020
1,1,09/04/2020
1,3,16/04/2020
1,2,16/04/2020
1,1,21/05/2020
1,7,11/06/2020
1,3,11/06/2020
1,2,25/06/2020
1,2,01/10/2020
1,1,08/10/2020
1,1,22/10/2020
1,2,29/10/2020
1,1,12/11/2020
1,1,26/11/2020
1,1,03/12/2020
1,1,03/12/2020
2,2,16/01/2020
2,2,23/01/2020
2,3,27/02/2020
2,1,12/03/2020
2,1,19/03/2020
2,1,26/03/2020
2,3,02/04/2020
2,2,30/04/2020
2,6,14/05/2020
2,3,21/05/2020
2,4,11/06/2020
2,1,25/06/2020
2,1,17/09/2020
2,1,24/09/2020
2,2,08/10/2020
2,3,22/10/2020
2,1,29/10/2020
2,4,26/11/2020
2,4,03/12/2020
2,2,10/12/2020
3,7,23/01/2020
3,6,30/01/2020
3,4,06/02/2020
3,5,13/02/2020
3,4,20/02/2020
3,1,27/02/2020
3,6,05/03/2020
3,3,12/03/2020
3,3,19/03/2020
3,6,26/03/2020
3,2,02/04/2020
3,1,16/04/2020
3,2,30/04/2020
3,2,07/05/2020
3,4,14/05/2020
3,1,28/05/2020
3,4,04/06/2020
3,2,11/06/2020
3,2,25/06/2020
3,7,24/09/2020
3,2,01/10/2020
3,2,08/10/2020
3,1,22/10/2020
3,4,29/10/2020
3,1,05/11/2020
3,4,19/11/2020
3,21,26/11/2020
3,6,03/12/2020
3,3,10/12/2020
4,1,30/01/2020
4,1,06/02/2020
4,1,20/02/2020
4,3,27/02/2020
4,1,12/03/2020
4,2,14/05/2020
4,1,04/06/2020
4,2,17/09/2020
5,1,09/01/2020
5,1,16/01/2020
5,1,23/01/2020
5,3,30/01/2020
5,1,06/02/2020
5,1,06/02/2020
5,1,13/02/2020
5,1,20/02/2020
5,10,27/02/2020
5,5,05/03/2020
5,8,12/03/2020
5,3,02/04/2020
5,2,07/05/2020
5,3,14/05/2020
5,2,21/05/2020
5,1,21/05/2020
5,1,28/05/2020
5,1,25/06/2020
5,1,17/09/2020
5,3,24/09/2020
5,2,01/10/2020
5,1,08/10/2020
5,1,15/10/2020
5,3,22/10/2020
5,1,05/11/2020
5,2,26/11/2020
5,1,26/11/2020
5,3,03/12/2020
5,2,10/12/2020
6,1,12/03/2020
6,1,30/04/2020
6,1,18/06/2020
6,1,24/09/2020
6,3,15/10/2020
6,1,05/11/2020
7,4,23/01/2020
7,1,06/02/2020
7,2,20/02/2020
7,1,26/03/2020
7,2,02/04/2020
7,1,14/05/2020
7,8,04/06/2020
7,1,18/06/2020
7,1,24/09/2020
7,2,08/10/2020
7,1,15/10/2020
7,1,19/11/2020
7,3,26/11/2020
7,1,03/12/2020
7,2,10/12/2020
8,2,23/01/2020
8,1,20/02/2020
8,4,02/04/2020
8,2,09/04/2020
8,2,17/09/2020
8,1,05/11/2020
8,2,26/11/2020
9,2,23/01/2020
9,3,30/01/2020
9,2,20/02/2020
9,2,27/02/2020
9,3,30/04/2020
9,2,30/04/2020
9,2,25/06/2020
9,1,24/09/2020
10,3,16/01/2020
10,3,30/01/2020
10,3,20/02/2020
10,4,27/02/2020
10,2,05/03/2020
10,2,12/03/2020
10,4,30/04/2020
10,11,14/05/2020
10,2,25/06/2020
10,2,24/09/2020
10,4,01/10/2020
10,1,08/10/2020
10,2,12/11/2020
10,3,19/11/2020
10,5,03/12/2020
11,3,23/01/2020
11,2,30/01/2020
11,3,13/02/2020
11,9,26/03/2020
11,4,04/06/2020
11,3,11/06/2020
11,1,24/09/2020
11,1,22/10/2020
11,6,29/10/2020
11,1,05/11/2020
11,2,26/11/2020
12,3,23/01/2020
12,6,30/01/2020
12,6,13/02/2020
12,1,20/02/2020
12,2,27/02/2020
12,2,05/03/2020
12,3,12/03/2020
12,18,26/03/2020
12,1,09/04/2020
12,3,16/04/2020
12,1,07/05/2020
12,1,21/05/2020
12,1,28/05/2020
12,1,18/06/2020
12,2,24/09/2020
12,1,01/10/2020
12,1,15/10/2020
12,2,29/10/2020
12,2,12/11/2020
13,9,23/01/2020
13,2,30/01/2020
13,1,13/02/2020
13,1,01/10/2020
13,3,26/11/2020
14,4,23/01/2020
14,1,30/01/2020
14,1,05/03/2020
14,4,02/04/2020
14,1,30/04/2020
14,2,14/05/2020
14,1,21/05/2020
14,1,04/06/2020
15,2,16/01/2020
15,4,23/01/2020
15,2,06/02/2020
15,4,20/02/2020
15,6,27/02/2020
15,3,05/03/2020
15,1,12/03/2020
15,3,26/03/2020
15,1,16/04/2020
15,1,28/05/2020
15,2,11/06/2020
15,2,18/06/2020
15,5,24/09/2020
15,1,01/10/2020
15,1,08/10/2020
15,1,22/10/2020
15,2,19/11/2020
15,1,03/12/2020
16,1,20/02/2020
16,2,27/02/2020
16,1,19/03/2020
16,1,14/05/2020
16,1,04/06/2020
16,2,25/06/2020
16,1,01/10/2020
16,2,08/10/2020
16,2,26/11/2020
17,1,09/01/2020
17,1,23/01/2020
17,1,20/02/2020
17,9,16/04/2020
17,1,25/06/2020
17,1,17/09/2020
17,3,29/10/2020
18,3,13/02/2020
18,2,19/03/2020
18,1,16/04/2020
18,2,25/06/2020
18,2,17/09/2020
18,1,24/09/2020
18,2,12/11/2020
18,1,26/11/2020
18,2,10/12/2020
19,1,23/01/2020
19,2,30/01/2020
19,1,30/04/2020
19,1,22/10/2020
20,1,09/01/2020
20,7,30/01/2020
20,4,20/02/2020
20,4,05/03/2020
20,3,12/03/2020
20,1,19/03/2020
20,2,26/03/2020
20,11,09/04/2020
20,6,16/04/2020
